node_id,account_age_days,balance,in_out_ratio,pagerank,tx_velocity,is_fraud,in_degree,out_degree,total_incoming,total_outgoing,risk_ratio,anomaly_score,is_anomalous
0,2548,2358.41,0.89,0.0078460583261547,90,0,56,57,143064.0,155570.0,0.9196117502783564,0.2170780651543635,1
1,2486,14952.61,1.22,0.0085533129333852,58,0,59,51,130502.0,136881.0,0.953397476570642,0.2137225481462702,1
2,189,37891.98,0.95,0.0008478673959294,33,0,7,13,16873.0,33594.0,0.5022623085960998,-0.0341465651916055,0
3,3625,17132.59,1.84,0.000887707509255,23,0,6,9,17982.0,23605.0,0.7617877565084568,-0.085349458348344,0
5,3240,10632.31,0.25,0.0017656709793619,77,0,13,14,24981.0,27760.0,0.8998919305115664,0.0194841858546782,1
7,2206,13039.95,1.38,0.0004456926814029,55,0,3,6,4916.0,20790.0,0.2364598363460991,-0.1561033673055927,0
9,2091,26765.36,0.11,0.0020400807417054,14,0,13,13,29548.0,41094.0,0.7190344087411703,0.0175070725739705,1
10,3111,763.9,1.35,0.0049849678030778,58,0,20,11,64228.0,26857.0,2.391480804858517,0.0712003025365649,1
11,511,34621.13,1.75,0.0024420030690542,95,1,14,13,85039.0,81743.0,1.0403214952913005,0.0845162398251283,1
13,411,30134.18,1.02,0.00168026755336,79,1,6,5,99045.0,15200.0,6.516118416765711,-0.0248627434144204,0
14,2005,40675.31,1.27,0.0006226866300853,88,0,4,6,11296.0,15199.0,0.7432067894314055,-0.1655779294106764,0
17,2730,33722.78,1.41,0.0013700675609448,50,1,9,7,26444.0,70661.0,0.3742375567322515,-0.0292336185471164,0
18,563,40251.57,0.27,0.000871976426271,17,0,6,8,15856.0,18873.0,0.8401420013563599,-0.112046891145661,0
19,2501,792.41,0.31,0.0020978248097761,2,1,15,7,23368.0,79710.0,0.293162714804521,0.0118550238991458,1
20,2238,34832.02,0.46,0.0020596774047132,3,1,10,5,85247.0,16685.0,5.109199877069703,-0.0130582214136031,0
22,3419,10540.55,1.33,0.0011923701444546,83,0,7,11,15283.0,31398.0,0.4867507483002896,-0.0487391816626764,0
23,34,12164.83,1.7,0.0004056207430262,68,0,4,0,12293.0,0.0,1229300000.0,-0.0297583584707207,0
25,3203,9626.63,0.67,0.0011608614114291,59,0,10,10,25314.0,17976.0,1.4082109471471902,-0.0335137505474578,0
28,2809,7493.47,0.9,0.0005706729015572,14,0,6,3,14675.0,8050.0,1.8229813641950543,-0.1839073043855276,0
32,2689,8388.66,0.39,0.0007740508336315,89,0,6,9,17978.0,25061.0,0.7173696178455091,-0.084422323853888,0
36,1797,22318.77,1.02,0.0001134109257384,2,0,0,2,0.0,4511.0,0.0,-0.2427528426780466,0
