source,target,amount,timestamp
0,1,780.0,2025-12-16T11:33:23.575987
0,7,205.0,2025-12-16T11:33:23.578092
0,9,928.0,2025-12-16T11:33:23.578092
0,10,4077.0,2025-12-16T11:33:23.578092
0,18,2088.0,2025-12-16T11:33:23.578092
0,22,4898.0,2025-12-16T11:33:23.578092
0,23,4154.0,2025-12-16T11:33:23.578092
0,28,1913.0,2025-12-16T11:33:23.578092
0,32,4942.0,2025-12-16T11:33:23.578092
0,38,3653.0,2025-12-16T11:33:23.578092
0,44,2277.0,2025-12-16T11:33:23.578092
0,50,951.0,2025-12-16T11:33:23.578092
0,68,4096.0,2025-12-16T11:33:23.578092
0,71,4693.0,2025-12-16T11:33:23.578092
0,77,4733.0,2025-12-16T11:33:23.578092
0,78,3178.0,2025-12-16T11:33:23.578092
0,86,4351.0,2025-12-16T11:33:23.578092
0,88,3234.0,2025-12-16T11:33:23.578092
0,98,444.0,2025-12-16T11:33:23.578092
0,103,983.0,2025-12-16T11:33:23.578092
0,107,4936.0,2025-12-16T11:33:23.578092
0,110,907.0,2025-12-16T11:33:23.578092
0,116,4815.0,2025-12-16T11:33:23.578092
0,118,877.0,2025-12-16T11:33:23.578092
0,241,1062.0,2025-12-16T11:33:23.578092
0,284,2054.0,2025-12-16T11:33:23.578092
0,289,3054.0,2025-12-16T11:33:23.578092
0,304,4852.0,2025-12-16T11:33:23.578092
0,325,3555.0,2025-12-16T11:33:23.578092
0,382,3325.0,2025-12-16T11:33:23.578092
0,384,426.0,2025-12-16T11:33:23.578092
0,391,2945.0,2025-12-16T11:33:23.579097
0,398,3706.0,2025-12-16T11:33:23.579097
0,434,3874.0,2025-12-16T11:33:23.579097
0,470,4796.0,2025-12-16T11:33:23.579097
0,618,4382.0,2025-12-16T11:33:23.579097
0,621,405.0,2025-12-16T11:33:23.579097
0,682,3366.0,2025-12-16T11:33:23.579097
0,791,3637.0,2025-12-16T11:33:23.579097
0,942,310.0,2025-12-16T11:33:23.579097
0,947,1869.0,2025-12-16T11:33:23.579097
0,990,4744.0,2025-12-16T11:33:23.579097
